date,country,alpha_iet,xmin_iet,n_events_window,mean_wait_months
2015-07-01,COL,1.5702723858962793,1.0183968462549278,6,7.601839684625491
2015-08-01,COL,1.5702723858962793,1.0183968462549278,6,7.601839684625491
2015-09-01,COL,1.5702723858962793,1.0183968462549278,6,7.601839684625491
2015-10-01,COL,1.5702723858962793,1.0183968462549278,6,7.601839684625491
2015-11-01,COL,1.5702723858962793,1.0183968462549278,6,7.601839684625491
2015-12-01,COL,1.6067726082993015,1.0183968462549278,5,7.260183968462549
2016-01-01,COL,1.6067726082993015,1.0183968462549278,5,7.260183968462549
2016-02-01,COL,1.6067726082993015,1.0183968462549278,5,7.260183968462549
2016-03-01,COL,1.6067726082993015,1.0183968462549278,5,7.260183968462549
2016-04-01,COL,1.6067726082993015,1.0183968462549278,5,7.260183968462549
2016-05-01,COL,1.6067726082993015,1.0183968462549278,5,7.260183968462549
2016-06-01,COL,1.6067726082993015,1.0183968462549278,5,7.260183968462549
2016-07-01,COL,1.6067726082993015,1.0183968462549278,5,7.260183968462549
2016-08-01,COL,1.6067726082993015,1.0183968462549278,5,7.260183968462549
2016-09-01,COL,,,4,9.340779675865088
2008-10-01,DOM,,,4,3.668418747262374
2008-11-01,DOM,,,4,3.668418747262374
2008-12-01,DOM,,,4,3.668418747262374
2009-01-01,DOM,,,4,3.668418747262374
2009-02-01,DOM,,,4,3.668418747262374
2009-03-01,DOM,,,4,3.668418747262374
2009-04-01,DOM,,,4,3.668418747262374
2009-05-01,DOM,,,4,3.668418747262374
2009-06-01,DOM,,,4,3.668418747262374
2009-07-01,DOM,,,4,3.668418747262374
2009-08-01,DOM,,,4,3.668418747262374
2009-09-01,DOM,,,4,3.668418747262374
2009-10-01,DOM,,,4,3.668418747262374
2009-11-01,DOM,,,4,3.668418747262374
2009-12-01,DOM,,,4,3.668418747262374
2010-01-01,DOM,,,4,3.668418747262374
2010-02-01,DOM,,,4,3.668418747262374
2010-03-01,DOM,,,4,3.668418747262374
2010-04-01,DOM,,,4,3.668418747262374
2010-05-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2010-06-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2010-07-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2010-08-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2010-09-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2010-10-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2010-11-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2010-12-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-01-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-02-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-03-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-04-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-05-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-06-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-07-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-08-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-09-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-10-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-11-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2011-12-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-01-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-02-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-03-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-04-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-05-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-06-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-07-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-08-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-09-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-10-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-11-01,DOM,1.6941681979217191,0.9855453350854139,5,7.490144546649145
2012-12-01,DOM,,,4,9.318878668418746
2013-01-01,DOM,,,4,9.318878668418746
2020-03-01,ECU,,,4,18.331143232588698
2020-04-01,ECU,,,4,18.331143232588698
2020-05-01,ECU,,,4,18.331143232588698
2020-06-01,ECU,,,4,18.331143232588698
2020-07-01,ECU,,,4,18.331143232588698
2020-08-01,ECU,,,4,18.331143232588698
2022-06-01,ECU,,,4,10.326325010950503
2022-07-01,ECU,,,4,10.326325010950503
2022-08-01,ECU,,,4,10.326325010950503
2022-09-01,ECU,,,4,10.326325010950503
2022-10-01,ECU,,,4,10.326325010950503
2022-11-01,ECU,,,4,10.326325010950503
2022-12-01,ECU,,,4,10.326325010950503
2023-01-01,ECU,,,4,10.326325010950503
2023-02-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-03-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-04-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-05-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-06-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-07-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-08-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-09-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-10-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-11-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2023-12-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-01-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-02-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-03-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-04-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-05-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-06-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-07-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-08-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-09-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-10-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-11-01,ECU,1.6030544988352546,0.9526938239159001,5,9.756898817345597
2024-12-01,ECU,,,4,12.001752080595708
2025-01-01,ECU,,,4,12.001752080595708
2025-02-01,ECU,1.4594783422135391,0.9526938239159001,5,15.004927726675426
2025-03-01,ECU,,,4,19.689005694261937
2008-10-01,MEX,,,4,3.6684187472623737
2008-11-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2008-12-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-01-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-02-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-03-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-04-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-05-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-06-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-07-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-08-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-09-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-10-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-11-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2009-12-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2010-01-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2010-02-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2010-03-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2010-04-01,MEX,2.2847377831233375,0.9855453350854139,5,3.0059132720105124
2010-05-01,MEX,1.8312693751089641,0.9855453350854139,6,5.9921156373193165
2010-06-01,MEX,1.8312693751089641,0.9855453350854139,6,5.9921156373193165
2010-07-01,MEX,1.8312693751089641,0.9855453350854139,6,5.9921156373193165
2010-08-01,MEX,1.8312693751089641,0.9855453350854139,6,5.9921156373193165
2010-09-01,MEX,1.8312693751089641,0.9855453350854139,6,5.9921156373193165
2010-10-01,MEX,1.8312693751089641,0.9855453350854139,6,5.9921156373193165
2010-11-01,MEX,1.7664170584152,0.9855453350854139,7,6.000876040297854
2010-12-01,MEX,1.7664170584152,0.9855453350854139,7,6.000876040297854
2011-01-01,MEX,1.7664170584152,0.9855453350854139,7,6.000876040297854
2011-02-01,MEX,1.7664170584152,0.9855453350854139,7,6.000876040297854
2011-03-01,MEX,1.7664170584152,0.9855453350854139,7,6.000876040297854
2011-04-01,MEX,1.7664170584152,0.9855453350854139,7,6.000876040297854
2011-05-01,MEX,1.7664170584152,0.9855453350854139,7,6.000876040297854
2011-06-01,MEX,1.7664170584152,0.9855453350854139,7,6.000876040297854
2011-07-01,MEX,1.7664170584152,0.9855453350854139,7,6.000876040297854
2011-08-01,MEX,1.6974257884559731,0.9855453350854139,8,6.424816970152055
2011-09-01,MEX,1.7944625950268414,0.9855453350854139,9,5.7490144546649145
2011-10-01,MEX,1.7944625950268414,0.9855453350854139,9,5.7490144546649145
2011-11-01,MEX,1.7944625950268414,0.9855453350854139,9,5.7490144546649145
2011-12-01,MEX,1.7944625950268414,0.9855453350854139,9,5.7490144546649145
2012-01-01,MEX,1.7944625950268414,0.9855453350854139,9,5.7490144546649145
2012-02-01,MEX,1.7944625950268414,0.9855453350854139,9,5.7490144546649145
2012-03-01,MEX,1.7944625950268414,0.9855453350854139,9,5.7490144546649145
2012-04-01,MEX,1.7944625950268414,0.9855453350854139,9,5.7490144546649145
2012-05-01,MEX,1.7400363923560622,0.9855453350854139,10,5.997225872390129
2012-06-01,MEX,1.7400363923560622,0.9855453350854139,10,5.997225872390129
2012-07-01,MEX,1.7400363923560622,0.9855453350854139,10,5.997225872390129
2012-08-01,MEX,1.7400363923560622,0.9855453350854139,10,5.997225872390129
2012-09-01,MEX,1.7400363923560622,0.9855453350854139,10,5.997225872390129
2012-10-01,MEX,1.7400363923560622,0.9855453350854139,10,5.997225872390129
2012-11-01,MEX,1.7400363923560622,0.9855453350854139,10,5.997225872390129
2012-12-01,MEX,1.7842007631951664,0.9855453350854139,9,5.872207621550591
2013-01-01,MEX,1.7842007631951664,0.9855453350854139,9,5.872207621550591
2013-02-01,MEX,1.7842007631951664,0.9855453350854139,9,5.872207621550591
2013-03-01,MEX,1.7842007631951664,0.9855453350854139,9,5.872207621550591
2013-04-01,MEX,1.7842007631951664,0.9855453350854139,9,5.872207621550591
2013-05-01,MEX,1.7842007631951664,0.9855453350854139,9,5.872207621550591
2013-06-01,MEX,1.7842007631951664,0.9855453350854139,9,5.872207621550591
2013-07-01,MEX,1.7708505642238115,0.9855453350854139,8,6.279331706401352
2013-08-01,MEX,1.7708505642238115,0.9855453350854139,8,6.279331706401352
2013-09-01,MEX,1.7708505642238115,0.9855453350854139,8,6.279331706401352
2013-10-01,MEX,1.6753608758300325,1.0183968462549278,7,7.1616294349540075
2013-11-01,MEX,1.5628007298583604,1.0183968462549278,6,8.390275952693823
2013-12-01,MEX,1.6649480659798588,1.0183968462549278,5,6.003613666228645
2014-01-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-02-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-03-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-04-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-05-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-06-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-07-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-08-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-09-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-10-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-11-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2014-12-01,MEX,1.5558656584698332,1.0183968462549278,6,8.8107752956636
2015-01-01,MEX,2.956069404922135,6.044678055190539,7,9.340779675865088
2015-02-01,MEX,2.956069404922135,6.044678055190539,7,9.340779675865088
